Kaynak Pin,Net,Bagli Oldugu Pinler
R5.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
R6.1,I2C_SDA,"J2.11, U1.8, U2.39, U3.3, U4.19"
R6.2,3V3,"C5.1, L1.2, R1.2, R2.2, R7.2, R8.2, U1.2, U2.14, U2.21"
R7.1,I2C_SCL,"J2.10, U1.22, U2.40, U3.4, U4.1"
R7.2,3V3,"C5.1, L1.2, R1.2, R2.2, R6.2, R8.2, U1.2, U2.14, U2.21"
R8.1,AXP_IRQ,"U1.25, U2.38"
R8.2,3V3,"C5.1, L1.2, R1.2, R2.2, R6.2, R7.2, U1.2, U2.14, U2.21"
R9.1,BAT_NTC,U2.31
R9.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U1.1,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U1.10,NC__U1__10,-
U1.11,NC__U1__11,-
